,TEHSIL,OBJECTID,PROVINCE,DISTRICT,SHAPE_Leng,Area_Sq_Km,Shape_Le_1,Shape_Area,id,total_teh_obs,Preschool,Primary,Middle,Matric,Above
108,RENALA KHURD,385,PUNJAB,OKARA,1.296569638,624.348657,1.296569635,0.058682119,382,432,0,0.30787037,0.199074074,0.275462963,0.217592593
109,ROJHAN,395,PUNJAB,RAJANPUR,2.988328482,2798.617903,2.988328486,0.258689809,392,65,0,0.4,0.184615385,0.246153846,0.169230769
110,SADIQABAD,391,PUNJAB,RAHIM YAR KHAN,3.346906279,2546.211461,3.346906279,0.234187657,388,663,0.006033183,0.31372549,0.205128205,0.232277526,0.242835596
111,SAFDARABAD,377,PUNJAB,NANKANA SAHIB,1.373903167,604.0922623,1.373903168,0.057272099,374,461,0,0.373101952,0.199566161,0.290672451,0.136659436
112,SAHIWAL,407,PUNJAB,SARGODHA,1.583097961,759.8902417,1.583097956,0.072309003,404,1300,0,0.300769231,0.143076923,0.260769231,0.295384615
113,SAHIWAL_SAHIWAL,404,PUNJAB,SAHIWAL,2.470416604,1644.621745,2.470416602,0.154299986,401,NA,NA,NA,NA,NA,NA
114,SAMBRIAL,417,PUNJAB,SIALKOT,0.93038272,361.486893,0.930382718,0.03450157,414,724,0,0.238950276,0.196132597,0.294198895,0.270718232
115,SAMUNDARI,323,PUNJAB,FAISALABAD,1.998344997,869.0343859,1.998344998,0.081899872,321,885,0.003389831,0.255367232,0.196610169,0.258757062,0.285875706
116,SARAI ALAMGIR,332,PUNJAB,GUJRAT,1.304023851,485.8121932,1.304023849,0.046628505,330,657,0,0.284627093,0.162861492,0.283105023,0.269406393
117,SARGODHA,408,PUNJAB,SARGODHA,2.672250258,1457.875837,2.672250251,0.138883927,405,1037,0.00289296,0.270973963,0.156219865,0.260366442,0.30954677
118,SHAH KOT,378,PUNJAB,NANKANA SAHIB,0.794801492,244.4324169,0.794801491,0.023134306,375,437,0,0.295194508,0.228832952,0.224256293,0.251716247
119,SHAHPUR,409,PUNJAB,SARGODHA,1.556400454,788.0076131,1.556400453,0.075240038,406,316,0.012658228,0.386075949,0.174050633,0.231012658,0.196202532
120,SHAKARGARH,381,PUNJAB,NAROWAL,1.885449826,965.5701445,1.885449828,0.091677596,378,1223,0,0.23058054,0.219133279,0.286181521,0.264104661
121,SHANGLA HILL,379,PUNJAB,NANKANA SAHIB,0.985367022,302.8779941,0.985367023,0.028717785,376,511,0.001956947,0.279843444,0.164383562,0.266144814,0.287671233
