"","UC","DISTRICT","TEHSIL","fertility","elevation","poverty","distance_to_cities","Population","child_population","population_density","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage"
"64","151 GB","Toba Tek Singh","Toba Tek Singh",17.5209356716701,165.606060606061,0.485983535195842,27.1717171717172,44367.6871556917,4493.356752,6709897.96807681,0.778193479422769,0.324033919486124,0.0923585690843005
"65","151/EB","Pakpattan","Arifwala",25.2142502552754,156.081081081081,0.476370980610719,9.83783783783784,20280.6666738431,2128.194991,8324914.9732079,0.935131663455363,0.684147837090742,0.0474580573806078
"66","151/WB","Vehari","Mailsi",12.8589819761423,126.666666666667,0.506239304002726,20.5660377358491,28446.1977598702,3219.213072,7564576.37903966,0.903527717782577,0.389846826516614,0.0416250794846425
"67","152 NB","Sargodha","Sillanwali",8.3158685835925,167.227272727273,0.501375142823566,34.2727272727273,2548.2090636981,271.061508,1882836.55198873,1,0.689880320447417,0
"68","153/9.L","Sahiwal","Sahiwal",11.9134019704965,155.076923076923,0.670079217507289,28.6923076923077,14312.9629759403,1454.168291,4900456.70769253,0.90711175616836,0.429798946840053,0.0440114121564214
"69","154 GB","Toba Tek Singh","Gojra",22.3519193649292,166.666666666667,0.298555495341619,6.33333333333333,9418.74432793967,959.082225,3759811.18936256,0.739332096474954,0.831002784980193,0.292988434854999
"70","155/WB","Vehari","Vehari",16.8222283176754,129.311111111111,0.508943163024055,19.5555555555556,32807.0045183428,3711.639537,10539234.1169895,0.819178082191781,0.322229566766251,0.0711275966775003
"71","157/10-R","Khanewal","Jehanian",7.82826278098794,126.825,0.715388114750385,24.9,18523.6850468474,2046.597208,6539466.18117123,1,0.255057515938916,0
"72","158 GB","Toba Tek Singh","Gojra",95.159857328548,167.604651162791,0.266592233680015,0.651162790697674,170268.753645553,17306.286564,50819464.8926006,1,0.370212291140934,0
"73","16/WB","Vehari","Vehari",16.9383903945365,138.243902439024,0.64246157647633,11.1463414634146,63080.2987060558,6866.66155,11116097.2801833,0.936248331108144,0.408495450019668,0.0278155547072216
"74","161 GB","Toba Tek Singh","Gojra",12.6603889465332,165.857142857143,0.306236300298146,5.14285714285714,22365.7165617279,2273.27382,9786392.13824277,0.865583456425406,0.257778009338092,0.0400303734637651
"75","162/9-L","Sahiwal","Chichawatni",12.802990615816,154.09022556391,0.624586376256512,29.2857142857143,57234.7476504076,5740.36332,6272741.49875221,0.845911949685535,0.234305726836816,0.0426802253345874
"76","163 NB","Sargodha","Sillanwali",6.74819548288981,162.552631578947,0.488694578409195,34.4736842105263,44983.276954336,4783.283212,8657606.09687262,0.859042553191489,0.270107359890109,0.044321021901473
"77","164-A/T.D.A","Layyah","Layyah",5.77744243395181,142.728395061728,0.870590374793535,46.2098765432099,50705.2836949127,6086.96768,4541127.23689702,0.697560975609756,0.234928140771728,0.101856956138791
"78","164.A/9-L","Sahiwal","Chichawatni",15.7596521594308,149.099099099099,0.431152380264557,18.2882882882883,67175.2027868859,6755.132718,8736922.20191796,0.795013850415512,0.169944847558804,0.043818532123176
"79","166/EB","Vehari","Vehari",12.8741435542035,138.954545454545,0.660116216450026,16.2424242424242,35926.9518518754,3910.86003,7533676.4642607,0.875216637781629,0.258255215541427,0.036820545582144
"80","168/9-L","Sahiwal","Chichawatni",11.7576678206281,145.09756097561,0.529106075443873,23.2926829268293,19801.9019593898,1989.6641,6922382.29881528,1,0.280449348209077,0
"81","169/9-L","Sahiwal","Chichawatni",14.8060317536195,146.826086956522,0.471862272075985,27.1594202898551,33047.0654229858,3316.056534,6685948.99446385,0.95959595959596,0.343781834932975,0.0144750246287568
"82","17/14-L","Sahiwal","Chichawatni",12.8624093797472,153.263157894737,0.457498423363033,14.2631578947368,12079.089920363,1209.788412,9581186.40161112,1,0.300879059833481,0
"83","171/10-R","Khanewal","Khanewal",10.0707071454901,128.448275862069,0.615340311979425,11.1724137931034,32433.7519997597,3520.999509,7895560.82980495,1,0.340528306503663,0
"84","172/T.D.A","Layyah","Layyah",5.48261369962608,139.62331838565,0.886711245962323,63.3497757847534,54668.9794330647,6582.403843,3533965.91876189,0.621515368120086,0.264189199185845,0.160883474374819
"85","173/EB","Vehari","Burewala",15.5206448078156,148.992307692308,0.50203395485878,21.8,70262.2761509314,7296.01572,7931509.25362676,0.878076062639821,0.215185939868013,0.0298793215867687
"86","178 GB","Toba Tek Singh","Gojra",17.0591691881418,166.920634920635,0.371149381947896,21.5873015873016,27531.7975455292,2798.830329,6116565.23917713,0.901709401709402,0.376943178394434,0.0410885929055544
"87","18-HAZARI","Jhang","Jhang",7.08186028212526,149.615942028986,0.420426766911562,41.9343065693431,30710.5390936312,3235.87417,3250357.76617266,1,0.329431845614689,0
"88","18 NB","Sargodha","Bhalwal",12.7507732746213,187.19512195122,0.65980183642085,39.609756097561,13217.3628427229,1347.38635,4409561.30289916,1,0.229332885849705,0
"89","18/11-L","Sahiwal","Chichawatni",21.4825989046404,150.790322580645,0.456834055723683,23.5645161290323,32100.0255370747,3214.997088,7259556.82157837,0.948898678414097,0.334992527371148,0.0180404517990033
"90","18/KB","Pakpattan","Arifwala",14.4043195624101,153.162162162162,0.522522666736653,3.02631578947368,41112.0708419258,4314.182795,15480302.8141314,0.823827046918123,0.830284707488849,0.177553904504874
"91","180/9-L","Sahiwal","Chichawatni",14.0254244089127,160.8,0.56730711966753,20.23,60520.1906336946,6061.435572,8625995.79714768,0.848233995584989,0.253570293991075,0.0453687904017864
"92","183 GB","Toba Tek Singh","Toba Tek Singh",17.3859943910079,163.767441860465,0.525670619898064,23.8372093023256,27195.3469302077,2723.638479,8931457.31234448,1,0.489786001440906,0
"93","184 GB","Toba Tek Singh","Toba Tek Singh",13.3412548516478,161.009090909091,0.383212921565229,16.6727272727273,68585.5473093547,6866.221277,8830621.21518688,0.927728613569322,0.274823651011794,0.0214091556432081
"94","185/9.L","Sahiwal","Sahiwal",24.8055988458487,164.288461538462,0.465078971706904,11.5,32776.7498555124,3344.282697,8930563.12670847,0.876342095520178,0.707775093930703,0.0998719397434959
"95","187/EB","Vehari","Burewala",20.8230556292706,147.428571428571,0.447390017410119,16.9404761904762,55246.9117829165,5736.824352,9783536.67192762,0.901502504173623,0.376514926633054,0.0411377419839819
"96","189 GB","Toba Tek Singh","Toba Tek Singh",8.68982609574784,158.404651162791,0.410934198872988,19.1162790697674,79633.9874373359,8113.584616,5341907.13428404,0.916446324695928,0.21359239867697,0.0194735135550844
"97","19 HB","Sargodha","Sargodha",17.3606692921032,190.037037037037,0.524946382200276,18,24042.6217837663,2392.207805,6335609.99243669,0.936908517350158,0.372459281395915,0.025081433090634
"98","19 SB","Sargodha","Bhalwal",9.28615437784503,196.935483870968,0.509892672300339,8.58064516129032,14929.7290008083,1515.92292,6927590.21744431,1,0.583802770130291,0
"99","19/9-R","Khanewal","Khanewal",16.7976961023667,139.89156626506,0.537558611976095,13.0240963855422,47811.8996542612,5185.865082,8125677.84339321,0.874512860483242,0.43271468974171,0.062091858331921
"100","198/EB","Vehari","Vehari",10.7107368084922,139.626865671642,0.722994355123434,22.9850746268657,25879.4396193911,2809.225508,5501692.47297259,0.921888412017167,0.382311778439113,0.0323932698677461
"101","199/EB","Vehari","Burewala",21.9435556743826,146.436363636364,0.432594138383865,9.56363636363636,36670.7896656396,3807.884864,9242989.64150776,0.892688679245283,0.39759605504711,0.0477955627599564
"102","20/14-L","Sahiwal","Chichawatni",13.7984657107659,150.0625,0.545545023307204,17.31875,97724.2033918521,9787.625526,8923158.21122674,0.972246313963573,0.229064750591889,0.006538868883979
"103","223/EB","Vehari","Burewala",13.5046162863501,149.740072202166,0.509976670845321,21.3646209386282,140477.821741427,14592.279077,7255793.21937903,0.817187082999733,0.419673991134976,0.0938852658156299
"104","225/EB","Vehari","Burewala",10.5152277996666,146.642105263158,0.516515781063782,24.7263157894737,26447.7009264301,2746.385718,4040287.64019962,0.779433681073025,0.571296300339995,0.161667021893536
"105","23 ASB","Sargodha","Sargodha",17.7730295237373,190.060606060606,0.441638111165076,12.7575757575758,53622.6746716669,5335.38239,24167742.8852173,1,0.0845300237233793,0
"106","23/11.L","Sahiwal","Chichawatni",14.0625318702386,150.8,0.4774057918787,31.2,27588.5582174211,2763.148404,8281479.06522761,0.939901477832512,0.345258328730721,0.0220762663024885
"107","237 WB","Lodhran","Dunyapur",11.2382575388878,121.571428571429,0.742145855275411,26.2380952380952,39765.8778625555,4454.134063,8804934.83014946,0.756714060031596,0.215081087917402,0.0691492432970354
"108","251 GB","Toba Tek Singh","Toba Tek Singh",16.837714266777,162.3,0.498405735194683,24.725,26617.7055573737,2680.205133,9744466.19068145,1,0.345495943052505,0
"109","257/EB","Vehari","Burewala",36.0699162305291,144.962406015038,0.478252939546286,9.80597014925373,151838.734671349,15766.893072,16384284.6571098,0.980055292259084,0.629546985234987,0.0128116553513467
"110","26/SP","Pakpattan","Pakpattan",10.6343620892229,165.225806451613,0.754465931653976,24.0333333333333,15517.2853671189,1734.42109,7448053.4494419,1,0.272713473519859,0
"111","262 GB","Toba Tek Singh","Toba Tek Singh",12.106614780426,159.213114754098,0.351316317671635,11.7377049180328,29735.2803436382,2974.042644,7118143.84671574,1,0.23738731568773,0
"112","267/EB","Vehari","Burewala",11.7905630618334,143.291666666667,0.559110043259958,15.9375,66049.5486729313,6858.56724,9651096.37461861,0.883415435139573,0.156884078313709,0.0207040326399133
"113","269 GB","Toba Tek Singh","Toba Tek Singh",10.1232946797421,156.783783783784,0.34662781615515,4.24324324324324,24538.3427348946,2495.835618,9245038.77287832,1,0.257228479059233,0
"114","278 JB","Toba Tek Singh","Gojra",24.9069880300493,173.208955223881,0.48335616980026,15.2686567164179,60642.4423766421,6179.279016,13094506.4157091,0.910076530612245,0.230933090463316,0.0228181960443781
"115","28/14-L","Sahiwal","Chichawatni",12.2197828107667,146.563106796117,0.516699318168233,28,66965.1439474855,6706.933692,9090311.73041707,0.978359908883827,0.256152823167049,0.00566577839368328
"116","281 JB","Toba Tek Singh","Gojra",26.6054284131085,172.074074074074,0.452327505305961,9.81481481481481,32268.9442930403,3279.8478,11348881.91662,0.848739495798319,0.27714700663854,0.0493925358365714
"117","284/ JB","Toba Tek Singh","Toba Tek Singh",14.4982042661527,164.641975308642,0.390279192247509,18.4320987654321,64836.473207554,6581.501802,10895845.6868675,0.812865497076023,0.253437596794872,0.0583453460247188
"118","284/GB","Toba Tek Singh","Toba Tek Singh",11.6797442687185,161.475,0.436895866424609,19.7948717948718,29409.2009899729,2937.259404,10409919.101676,0.857653791130186,0.408203646694325,0.0677502299350882
"119","287/EB","Vehari","Burewala",13.8391638972543,145.8,0.564692054011605,26.4272727272727,49629.2053278164,5153.504442,6479949.83248557,0.88991646778043,0.578829422497275,0.0716017622867899
"120","291/EB","Vehari","Burewala",6.72756430390593,144.925081433225,0.549387570215747,36.514657980456,86247.3569293439,8965.695116,4039979.30466329,0.841545352743561,0.167638981758121,0.031564758374949
"121","295 GB","Toba Tek Singh","Toba Tek Singh",12.1085336563435,160.644444444444,0.326109685975572,19.2391304347826,17967.0359745815,1794.46716,5887862.72470404,0.85,0.464204650031043,0.081918467652537
"122","296 GB","Toba Tek Singh","Toba Tek Singh",10.5054977400261,157.913793103448,0.254842244467493,7.05084745762712,49992.4895713795,4993.026168,12196328.4233432,1,0.523930761021399,0
"123","30/10-R","Khanewal","Khanewal",11.4420606206965,136.482142857143,0.692938603054393,42.0545454545455,23611.4469637005,2560.989612,6306918.19300749,1,0.285436534601609,0
"124","30/11-L","Sahiwal","Chichawatni",9.79374171317892,153.255319148936,0.579537434146759,23.9574468085106,24823.465344085,2486.208888,7331582.63639993,0.891566265060241,0.327406117775893,0.0398196629727437
"125","30/SP","Pakpattan","Pakpattan",10.233765227454,163.658823529412,0.694490825428682,14.6117647058824,50977.9274309041,5697.980695,8797229.88994832,0.969624300559552,0.42576486826795,0.0133380585277676
"126","301 GB","Toba Tek Singh","Toba Tek Singh",28.2696997997088,156.077922077922,0.24681910582177,4.37662337662338,93664.9954359106,9354.840642,17463849.3829012,0.989544339744417,0.819468796248897,0.0086586189011428
"127","301 JB","Toba Tek Singh","Gojra",11.261999130249,168.375,0.315199043601751,0.25,9502.64773319186,965.858628,1815639.67990577,1,0.349947694415585,0
"128","305/EB","Vehari","Burewala",15.7657358986991,141.943396226415,0.613400569668523,20.8333333333333,28877.4102894807,3012.711086,7746240.39144459,0.635424940428912,0.265541559467014,0.152354469744199
"129","314 GB","Toba Tek Singh","Toba Tek Singh",18.0321080791416,155.970149253731,0.31988769992074,10.0746268656716,32892.2842797822,3285.134178,6763795.69816448,0.829752953813104,0.470300424970952,0.0964952975506744
"130","316 GB","Toba Tek Singh","Toba Tek Singh",11.5561200195635,152.180555555556,0.282693355447716,14.75,21670.7670746049,2164.37925,4355458.01410196,0.920218579234973,0.389026091430141,0.0337279152902616
"131","316 JB","Toba Tek Singh","Gojra",12.2214521261362,167.142857142857,0.342443127717291,1.78571428571429,9168.83106809145,931.929168,2231010.7413468,1,0.474284972696552,0
"132","317/EB (DEWA","Vehari","Burewala",7.33408191606596,141.487179487179,0.689348207070277,27.2820512820513,41149.5948776279,4300.359882,7735215.01913398,0.826224328593997,0.121617728364809,0.0255792545317955
"133","323 JB","Toba Tek Singh","Toba Tek Singh",11.5748353385925,163.745098039216,0.318420468007817,9.03921568627451,26311.2572700286,2665.843764,7950809.58004101,0.899449035812672,0.244950588934814,0.0273834502178275
"134","327 GB","Toba Tek Singh","Toba Tek Singh",8.57077484864455,151.8125,0.294120318023488,11.578125,28463.5675176265,2842.813764,6485746.25150687,0.876412429378531,0.436539324424067,0.061558728262862
"135","328 JB","Toba Tek Singh","Toba Tek Singh",9.4683074870352,160.05,0.283421639163615,9.69491525423729,26414.6949942094,2638.181544,6478288.05394536,0.748129675810474,0.45485876539814,0.153135784350707
"136","33 SB","Sargodha","Sargodha",18.9848709318373,190.866666666667,0.53721583949195,38.1777777777778,24423.6428355134,2430.147835,7963038.67274183,0.781931464174455,0.413143589677951,0.115219327798632
"137","330 GB","Toba Tek Singh","Toba Tek Singh",9.92670615774686,154.852459016393,0.283233853637195,18.0655737704918,22017.4993477986,2199.009318,5246732.11982067,0.824974411463664,0.366528687897083,0.0777622898640214
"138","333 GB","Toba Tek Singh","Toba Tek Singh",12.3737979616438,156.738095238095,0.291781567746685,13.5,20157.7535188507,2013.266226,7283575.39263967,1,0.36358827786743,0
"139","334 JB","Toba Tek Singh","Gojra",18.0241586140224,173.5,0.575699379046758,8,900.581719888875,91.756176,1773159.61982238,1,0.250664325854207,0
"140","335/WB","Vehari","Mailsi",11.3546928655018,124.835294117647,0.538025145267331,23.2906976744186,61508.172163846,6960.093135,10698820.1063417,0.779035639412998,0.266950450800254,0.0757173775951204
"141","338 JB","Toba Tek Singh","Gojra",37.9982720216115,173.083333333333,0.585540860891342,8.58333333333333,18426.679913543,1872.906192,20339588.5074076,1,0.452772276381048,0
"142","34 SB","Sargodha","Sargodha",18.4355238864296,190.447368421053,0.550517669633815,25.3684210526316,33507.1086199141,3333.91123,12665336.5052999,0.606263982102908,0.16257181508699,0.105581695407049
"143","34/EB","Pakpattan","Arifwala",10.26577665836,157.126582278481,0.550230057933663,20.5189873417722,27720.4538767297,2908.904921,5110496.43449359,0.906962025316456,0.492625245209931,0.0505344808414933
