,PROVINCE,DISTRICT,TEHSIL,UC,UC_C,Flood,Area,TOWN,U_R,PROVINCE_C,DISTRICT_C,TEHSIL_C,UC_NAME,Data_Sourc,Level,School,New_Name,Shape_Leng,Shape_Area,id,penta3_in_clinic,penta3_out_clinic
587,Punjab,Okara,Okara,OKARA -4,0,OKARA -4,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.102826743,0.000519889,587,0,36
588,Punjab,Okara,Okara,OKARA -6,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.103848371,0.000620009,588,0,11
589,Punjab,Okara,Okara,OKARA -3,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.099298609,0.000491019,589,0,20
590,Punjab,Okara,Okara,OKARA -2,0,OKARA -2,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.118079499,0.000757552,590,0,33
591,Punjab,Okara,Okara,OKARA -1,0,OKARA -1,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.104106925,0.000669762,591,0,2
592,Punjab,Okara,Depalpur,RUKAN PURA,0,RUKAN PURA,0,NA,NA,6,0,0,NA,Alhasan,1,0,NA,0.327859995,0.005858677,592,29,315
593,Punjab,Okara,Depalpur,MEHAR SHAH K,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.202866579,0.002318951,593,325,2199
594,Punjab,Okara,Depalpur,MANDI AHMADA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.188000139,0.002107998,594,0,135
595,Punjab,Okara,Depalpur,HUJRA SHAH M,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.109979464,0.000678569,595,0,540
596,Punjab,Okara,Depalpur,HUJRA SHAH M,0,NA,0,NA,NA,6,0,0,NA,Alhasan,2,0,NA,0.117109202,0.000833274,596,0,540
597,Punjab,Okara,Depalpur,HAVELI LAKHA,0,NA,0,NA,NA,6,0,0,NA,Alhasan,NA,0,NA,0.184761676,0.001606189,597,51,1371
