,OBJECTID,PROVINCE,DISTRICT,TEHSIL,SHAPE_Leng,Area_Sq_Km,Shape_Le_1,Shape_Area,id,penta3_in_clinic,penta3_out_clinic,proportion
383,386,PUNJAB,PAK PATTAN,ARIFWALA,2.39439928,1361.714948,2.249617251,0.108238775,383,3028,35148,0.920683152
384,387,PUNJAB,PAK PATTAN,PAK PATTAN,2.409550206,1536.439339,2.409550205,0.143632581,384,3650,34256,0.903709175
385,388,PUNJAB,RAHIM YAR KHAN,KHAN PUR,3.510491623,3064.414866,3.510491625,0.282515559,385,6178,12853,0.675371762
386,389,PUNJAB,RAHIM YAR KHAN,LIAQAT PUR,4.522301985,4644.395227,4.522301981,0.42783275,386,5101,17043,0.769644147
387,390,PUNJAB,RAHIM YAR KHAN,RAHIM YAR KHAN,3.196135283,2626.683372,3.196135286,0.242015709,387,4095,10588,0.721106041
388,391,PUNJAB,RAHIM YAR KHAN,SADIQABAD,3.346906279,2546.211461,3.346906279,0.234187657,388,7845,9232,0.540610177
389,392,PUNJAB,RAJANPUR,DE-EXCLUDED AREA RAJANPUR,4.676385957,4794.030655,4.676385957,0.445137627,389,0,140,1
390,393,PUNJAB,RAJANPUR,JAMPUR,2.288839863,2212.121987,2.288839863,0.206002068,390,4682,5401,0.535654071
391,394,PUNJAB,RAJANPUR,RAJANPUR,2.885114138,2718.204275,2.885114139,0.252191747,391,3422,5597,0.620578778
392,395,PUNJAB,RAJANPUR,ROJHAN,2.988328482,2798.617903,2.988328486,0.258689809,392,1021,5009,0.830679934
393,396,PUNJAB,RAWALPINDI,GUJAR KHAN,2.320208226,1480.877611,2.320208221,0.142837679,393,4476,12960,0.743289745
394,397,PUNJAB,RAWALPINDI,KAHUTA,1.308554849,614.7388379,1.30855485,0.059512545,394,3158,7015,0.689570432
395,398,PUNJAB,RAWALPINDI,KALLAR SAYYEDAN,1.382076509,471.2151287,1.382076508,0.045533059,395,2654,4200,0.612780858
396,399,PUNJAB,RAWALPINDI,KOTLI SATTIAN,1.14164613,368.7174371,1.141646128,0.035773802,396,640,2810,0.814492754
397,400,PUNJAB,RAWALPINDI,MURREE,1.167401369,384.9036345,1.167401367,0.037383407,397,1063,4824,0.819432648
398,401,PUNJAB,RAWALPINDI,RAWALPINDI,2.730416367,1620.552548,2.73041637,0.156662062,398,5954,26200,0.814828637
399,402,PUNJAB,RAWALPINDI,TAXILA,0.896920123,279.556575,0.896920125,0.027136526,399,850,6167,0.878865612
